id,gold_label,agent_status,citation_line,explanation
0,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
1,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
2,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
3,unsafe,unsafe,,No balance check (require(... >= ...)) found before updating balances.
4,unsafe,unsafe,,No balance check (require(... >= ...)) found before updating balances.
5,unsafe,unsafe,,No balance check (require(... >= ...)) found before updating balances.
6,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
7,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
8,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
9,unsafe,unsafe,,No balance check (require(... >= ...)) found before updating balances.
10,unsafe,unsafe,,No balance check (require(... >= ...)) found before updating balances.
11,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
12,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
13,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
14,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
15,unsafe,unsafe,,No balance check (require(... >= ...)) found before updating balances.
16,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
17,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
18,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
19,unsafe,unsafe,,No balance check (require(... >= ...)) found before updating balances.
20,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
21,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
22,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
23,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
24,unsafe,unsafe,,No balance check (require(... >= ...)) found before updating balances.
25,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
26,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
27,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
28,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
29,safe,safe,3,Detected balance check via require(... >= ...) on line 3.
30,unsafe,unsafe,,No balance check (require(... >= ...)) found before updating balances.
31,unsafe,unsafe,,No balance check (require(... >= ...)) found before updating balances.
